Geographic name,percent elderly 65+ 2016,percent elderly 85+ 2016,percent elderly 65+ 2011,percent elderly 85+ 2011,Latitude,Longitude,predicted 65+,predicted 85+
Rose Blanche-Harbour le Cou,33.33333333333333,2.564102564102564,21.73913043478261,0.0,47.611586,-58.693407,37.971014492753966,3.5897435897434207
Samiajij Miawpukek,6.666666666666667,0.0,4.49438202247191,0.0,52.89,-60.511,7.535580524344482,0.0
Gallants,50.0,10.0,25.0,0.0,48.703091,-58.241871,60.0,14.0
Stephenville Crossing,25.153374233128833,2.4539877300613497,21.787709497206706,2.23463687150838,48.503397,-58.435321,26.49964012749774,2.5417280734825454
Stephenville,22.356495468277945,2.3413897280966767,18.303571428571427,1.8601190476190477,48.549832,-58.572356,23.977665084160435,2.533898000287735
Kippens,22.388059701492537,1.9900497512437811,16.2534435261708,1.3774104683195594,48.549832,-58.572356,24.841906171621304,2.235105464413465
Port au Port East,23.333333333333332,0.0,20.967741935483872,1.6129032258064515,48.557314,-58.715578,24.27956989247309,0.0
Lourdes,24.731182795698924,2.1505376344086025,17.75700934579439,0.9345794392523364,48.64847,-58.996688,27.52085217566082,2.636920912471112
Port au Port West-Aguathuna-Felix Cove,30.434782608695656,2.1739130434782608,23.91304347826087,0.0,48.557054,-58.750883,33.04347826086996,3.043478260869506
Deer Lake,21.8503937007874,1.968503937007874,17.99163179916318,1.882845188284519,49.181328,-57.421258,23.393898461436947,2.0027674364972157
Jackson's Arm,31.03448275862069,3.4482758620689653,24.24242424242424,0.0,49.866043,-56.794095,33.75130616509887,4.8275862068965125
Howley,25.0,0.0,20.0,0.0,49.169197,-57.118253,27.0,0.0
Hampden,25.581395348837212,2.3255813953488373,20.454545454545457,0.0,49.541742,-56.859733,27.63213530655412,3.255813953488314
Reidville,21.153846153846153,1.9230769230769231,14.000000000000002,0.0,49.210986,-57.437069,24.015384615384846,2.6923076923076223
Pasadena,20.85635359116022,1.2430939226519335,15.07462686567164,0.7462686567164178,49.013793,-57.586056,23.169044281356037,1.4418240290261224
Cormack,21.311475409836063,0.0,14.0625,0.0,49.298946,-57.387138,24.211065573770156,0.0
Gillams,17.5,0.0,15.0,0.0,52.89,-60.511,18.5,0.0
Massey Drive,5.487804878048781,0.0,6.382978723404255,0.7092198581560284,48.940784,-57.890509,5.129735339906574,0.0
Corner Brook,23.80722891566265,3.855421686746989,20.342205323193916,2.994296577946768,48.958687,-57.927736,25.19323835265004,4.199871730267034
McIvers,24.074074074074073,1.8518518518518516,18.51851851851852,0.0,52.89,-60.511,26.296296296296077,2.592592592592723
Cox's Cove,19.402985074626866,0.0,18.461538461538463,0.0,49.116523,-58.075751,19.77956371986221,0.0
Lark Harbour,27.450980392156865,0.0,22.0,0.0,49.102231,-58.363646,29.63137254901949,0.0
Meadows,22.58064516129032,1.6129032258064515,17.1875,0.0,48.964878,-57.922326,24.737903225806804,2.258064516129025
Irishtown-Summerside,22.916666666666664,3.4722222222222223,16.083916083916083,0.6993006993006993,48.962901,-58.029034,25.6497668997672,4.581390831390763
Mount Moriah,17.56756756756757,1.351351351351351,12.82051282051282,0.0,48.968231,-58.041891,19.466389466389273,1.8918918918917598
York Harbour,21.21212121212121,0.0,20.0,0.0,49.06082,-58.379731,21.696969696969745,0.0
Norris Arm,24.65753424657534,1.36986301369863,21.11111111111111,2.2222222222222223,49.087238,-55.267562,26.076103500761064,1.0289193302891704
Gander,19.240297274979355,2.972749793559042,16.666666666666664,2.604166666666667,48.979964,-54.623995,20.269749518304366,3.1201830443160077
Appleton,19.29824561403509,0.0,11.29032258064516,0.0,52.89,-60.511,22.501414827390818,0.0
Glenwood,20.0,1.25,15.584415584415584,0.0,48.997455,-54.872531,21.76623376623388,1.75
Northern Arm,23.91304347826087,2.1739130434782608,17.073170731707318,0.0,47.943881,-53.068237,26.648992576881938,3.043478260869506
Grand Falls-Windsor,21.312632321806635,2.18772053634439,18.469945355191257,2.040072859744991,48.934858,-55.662055,22.449707108452913,2.2467796069841484
Bishop's Falls,23.34384858044164,1.5772870662460567,18.93491124260355,1.4792899408284024,49.010613,-55.495751,25.107423515576784,1.6164859164131258
Peterview,18.6046511627907,0.0,12.941176470588236,0.0,49.125601,-55.336473,20.870041039671833,0.0
Botwood,29.76588628762542,4.3478260869565215,25.080385852090032,4.501607717041801,49.130862,-55.366883,31.6400864618397,4.286313434922398
Badger,22.058823529411764,2.941176470588235,18.181818181818183,1.2987012987012987,48.980605,-56.03452,23.609625668449098,3.5981665393429694
Millertown,33.33333333333333,0.0,27.27272727272727,0.0,48.858317,-56.433594,35.75757575757598,0.0
Buchans,34.78260869565217,2.898550724637681,28.37837837837838,2.702702702702702,48.825542,-56.855185,37.34430082256176,2.976889933411684
Clarenville,17.488076311605724,2.46422893481717,14.99585749792875,2.31980115990058,48.190247,-53.969667,18.48496383707652,2.522000044783809
Trinity (Trinity Bay),23.52941176470588,5.88235294117647,14.285714285714285,0.0,48.979573,-53.911144,27.22689075630251,8.235294117646845
Port Rexton,23.52941176470588,0.0,18.181818181818183,3.0303030303030303,48.380416,-53.336203,25.668449197861264,0.0
Elliston,25.0,0.0,20.0,0.0,48.633078,-53.040999,27.0,0.0
Trinity Bay North,24.719101123595504,2.247191011235955,19.553072625698324,2.23463687150838,48.979573,-53.911144,26.78551252275429,2.252212667126985
Bonavista,24.963715529753262,3.483309143686502,20.641562064156208,3.3472803347280333,48.651738,-53.112654,26.69257691599205,3.5377206672698875
Keels,20.0,0.0,0.0,0.0,48.604804,-53.393337,28.0,0.0
King's Cove,22.22222222222222,11.11111111111111,9.090909090909092,0.0,48.566774,-53.33775,27.474747474747346,15.555555555555657
Musgravetown,28.31858407079646,3.5398230088495577,21.62162162162162,1.8018018018018016,48.397187,-53.897057,30.997369050466204,4.235031491668678
Port Blandford,29.82456140350877,1.7543859649122806,19.565217391304348,0.0,48.348269,-54.173444,33.92829900839115,2.456140350877149
Traytown,19.230769230769234,0.0,21.428571428571427,0.0,48.666358,-53.97154,18.35164835164835,0.0
Sandy Cove,38.46153846153847,0.0,30.76923076923077,0.0,52.75732,-56.795984,41.53846153846189,0.0
Happy Adventure,25.0,0.0,30.0,0.0,52.89,-60.511,23.0,0.0
Eastport,31.91489361702128,0.0,26.08695652173913,0.0,48.655092,-53.754695,34.24606845513381,0.0
Sandringham,30.434782608695656,0.0,10.714285714285714,0.0,48.66576,-53.823769,38.322981366460226,0.0
Glovertown,26.368159203980102,2.4875621890547266,21.35922330097087,2.4271844660194173,48.681849,-54.037441,28.37173356518383,2.51171327826885
Salvage,27.27272727272727,9.090909090909092,23.076923076923077,0.0,48.688215,-53.650996,28.95104895104896,12.72727272727252
Gambo,24.747474747474747,2.525252525252525,20.792079207920793,1.98019801980198,48.794936,-54.203169,26.329632963296262,2.743274327432715
Hare Bay,23.958333333333336,1.0416666666666663,18.81188118811881,1.98019801980198,52.89,-60.511,26.016914191419346,0.6662541254125927
Greenspond,23.076923076923077,3.8461538461538463,20.0,0.0,49.068325,-53.572985,24.30769230769215,5.384615384615245
